R,n,share,start_rate,end_rate,medial_rate,start_lift,end_lift,switch_next,overlap_next,gap_median,duration_med,mean_ici_med,nclick_med
2,2359,0.6143229166666667,0.06316235693090293,0.06994489190334888,0.8694362017804155,0.7417230905647316,0.8213712076723537,0.6315555555555555,0.28,2.3553695000001653,1.1420083,0.285502075,5.0
4,561,0.14609375,0.09803921568627451,0.09803921568627451,0.8181818181818182,1.1512862025544162,1.1512862025544162,0.5895953757225434,0.16570327552986513,3.4300750000002154,0.3335834,0.08339585,5.0
0,272,0.07083333333333333,0.058823529411764705,0.06985294117647059,0.8860294117647058,0.6907717215326498,0.8202914193200216,0.7224334600760456,0.33840304182509506,1.7058737000006658,0.9617620499999999,0.32058735,4.0
17,175,0.045572916666666664,0.12,0.05714285714285714,0.84,1.4091743119266054,0.6710353866317169,0.5773809523809523,0.25595238095238093,1.7290625000014188,1.0816,0.060216664705882356,18.0
16,94,0.024479166666666666,0.14893617021276595,0.10638297872340426,0.7659574468085106,1.7489752098379854,1.2492680070271325,0.5888888888888889,0.2,2.724651349999931,1.0032917000000001,0.20065834,6.0
13,57,0.01484375,0.21052631578947367,0.17543859649122806,0.6491228070175439,2.472235634958957,2.0601963624657973,0.3125,0.041666666666666664,4.510215749998906,0.3582918,0.051184542857142856,8.0
7,54,0.0140625,0.2777777777777778,0.24074074074074073,0.5555555555555556,3.2619775739041796,2.827047230716955,0.6888888888888889,0.2,2.7887916999998197,1.40988755,0.23498125833333333,7.0
11,43,0.011197916666666667,0.2558139534883721,0.18604651162790697,0.627906976744186,3.0040537657350117,2.1847663750800086,0.3333333333333333,0.08333333333333333,3.5938249999998106,0.4078,0.050975,9.0
5,39,0.01015625,0.05128205128205128,0.05128205128205128,0.8974358974358975,0.6022112444130793,0.6022112444130793,0.7894736842105263,0.13157894736842105,3.5923576000004687,0.304896,0.152448,3.0
8,34,0.008854166666666666,0.17647058823529413,0.29411764705882354,0.5882352941176471,2.072315164597949,3.453858607663249,0.44,0.04,3.8904349000004004,0.3550677,0.05917795,7.0
9,34,0.008854166666666666,0.17647058823529413,0.14705882352941177,0.6764705882352942,2.072315164597949,1.7269293038316245,0.7741935483870968,0.2903225806451613,2.361786800000118,1.4055042,0.20078631428571428,8.0
10,33,0.00859375,0.09090909090909091,0.15151515151515152,0.7575757575757576,1.067556296914095,1.7792604948568251,0.5172413793103449,0.20689655172413793,2.2605666999997993,0.713156,0.1426312,6.0
15,29,0.007552083333333333,0.20689655172413793,0.1724137931034483,0.6896551724137931,2.4296108826320784,2.024675735526732,0.4074074074074074,0.037037037037037035,4.3923415999997815,0.648825,0.16220625,5.0
6,23,0.005989583333333334,0.21739130434782608,0.13043478260869565,0.6521739130434783,2.5528520143597926,1.5317112086158755,0.6190476190476191,0.2857142857142857,2.8667959999999972,1.4593583,0.1824197875,9.0
14,13,0.0033854166666666668,0.15384615384615385,0.3076923076923077,0.6923076923076923,1.806633733239238,3.613267466478476,0.16666666666666666,0.0,4.2275749999989785,0.4788333,0.0532037,10.0
12,10,0.0026041666666666665,0.2,0.2,0.6,2.3486238532110093,2.3486238532110093,0.5555555555555556,0.0,1.7189416999990499,0.23364995,0.116824975,3.0
1,6,0.0015625,0.16666666666666666,0.16666666666666666,0.6666666666666666,1.9571865443425074,1.9571865443425074,0.3333333333333333,0.0,2.142545850001625,0.9319124999999999,0.3106375,4.0
3,4,0.0010416666666666667,0.25,0.0,0.75,2.935779816513761,0.0,0.25,0.0,3.248802000000069,0.74337915,0.24779305000000001,4.0
