density_class,n,median_top12_bigram_coverage,mean_top12_bigram_coverage
canonical_5_6,163,0.5,0.47750511247443767
dense_17plus,228,0.8125,0.7842041587240075
expanded_7_10,273,0.42857142857142855,0.4557866736438165
long_11_16,302,0.5555555555555556,0.5670567475203236
sparse_0_4,74,0.0,0.16891891891891891
