density_class,n,nclick_med,mean_ici_med,front2_mass_med,fast_share_med,long_share_med
long_11_16,302,13.0,0.11295809659090905,0.1663379645798893,0.3571428571428571,0.1818181818181818
expanded_7_10,273,9.0,0.1589236111111111,0.2746883988494725,0.1666666666666666,0.3333333333333333
dense_17plus,228,21.0,0.0751675438596491,0.0853177196518563,0.5194902548725637,0.0454545454545454
canonical_5_6,163,5.0,0.2201208333333333,0.5709838949790229,0.0,0.5
sparse_0_4,75,4.0,0.3339222222222222,0.9599053576030172,0.0,0.5
