state,symbol,center_ms,weight,count,p10_ms,p50_ms,p90_ms
0,a,29.30180578709835,0.10500930640684372,1193,25.51,28.889000000000003,32.88
1,b,45.81461776504395,0.2845574636914464,3319,37.3312,45.104,55.896
2,c,79.54123969496456,0.2549358398828683,2979,63.623200000000004,80.0,101.67800000000001
3,d,136.71925385791067,0.16209596884481395,1907,113.7464,139.683,171.97299999999998
4,e,221.97473444633675,0.1069754334649972,1237,189.274,226.437,285.03159999999997
5,f,361.57767074422355,0.08642598770903051,854,317.09999999999997,389.0625,583.2250000000001
