name,sr,channels,duration_s,nclick,coda_dur_s,mean_ici_s,cv_ici,front2_mass,front_half_mass,first_last_ratio,amp_cv,amp_trend,amp_shape,amp_max_pos,audio_cluster,density_class,tempo_class,gap_string,collapsed_gap_string,fast_share,long_share,max_fast_run,anchor_count,begins_long,ends_fast,tdoa_ms,tdoa_iqr_ms,stereo_class
deb626641cd8ab82411ae429d0a7facdc45f8c344780d3e0f896e84e486100a4,120000,2,2.0484,9,1.38255,0.17281875,0.7196485590385491,0.2699902354345231,0.5331874676021362,2.1114797261583265,0.3834968976589161,0.0639529624035356,mixed,0.125,A13,expanded_7_10,slow,fbfbfadd,fbfbfad,0.375,0.375,1,5,True,False,-0.0083333333333333,0.0083333333333333,center_stable
df419c3a36dbb865b16d8ebb1ea4d80f7420b673d3546893be215a88d491c2cb,44100,1,1.4850113378684808,8,0.7518594104308389,0.1074084872044055,0.4513650651623599,0.3535301746237598,0.4007901800524777,1.5529896168871316,0.4695382391071436,0.1455241794471349,rising,0.2857142857142857,A12,expanded_7_10,fast,ecbcddd,ecbcd,0.14285714285714285,0.14285714285714285,1,4,True,False,,,mono_or_unknown
df5bfe37e7b9404ec3281b8e5762fd53c950340932976b15f70cfae16e0f238d,44100,1,1.16281179138322,12,0.8298866213151928,0.0754442383013811,0.6586489855200244,0.2773648833269578,0.4120716979069894,0.4752266497952858,0.4784213760357502,-0.0199688712283632,mixed,0.36363636363636365,A15,long_11_16,very_fast,bdbabadcacc,bdbabadcac,0.5454545454545454,0.0,4,2,False,False,,,mono_or_unknown
df630e3f9ab3e860d1a1849f009230604bdaa2256e2ad860b14c326843ffbee5,48000,2,1.3215,8,0.912625,0.130375,1.1392385793991937,0.058622106560745,0.1120622745742592,0.0879233226834364,0.701646576281867,0.2816038758471467,rising,0.8571428571428571,A15,expanded_7_10,medium,aabfbbf,abfbf,0.7142857142857143,0.2857142857142857,3,2,False,False,0.4166666666666666,0.421875,R_mixed
dfbc963a64ae0962adb325dfdd3a6cf3cb16ef37e1078667e56ab21742f29558,44100,1,2.1660090702947845,10,1.5487755102040817,0.1720861678004535,0.3125959037906383,0.2788246145737251,0.5487620971874496,1.0664129634118544,0.4387519459037048,-0.1201958592771242,falling,0.0,A12,expanded_7_10,slow,eeeedbdde,edbde,0.1111111111111111,0.5555555555555556,1,8,True,False,,,mono_or_unknown
e046ef2226afaa6974d8a84ae834812d217c5411aa01718398fc25f366ec26cc,44100,1,1.6189115646258505,13,1.1557369614512472,0.0963114134542705,0.6947365226460896,0.312725631768953,0.5367485481086172,2.7588518751054547,0.4234100575324129,-0.0845632633577683,falling,0.0,A13,long_11_16,fast,ecaccccdaccc,ecacdac,0.16666666666666666,0.08333333333333333,1,2,True,False,,,mono_or_unknown
e1031db2b284937532395eea2c4b03c1723182b5595d6ca5b129cd1fffd98fdc,44100,1,1.53281179138322,3,0.9564399092970522,0.4782199546485261,0.9477465089242612,1.0,0.0261267455368785,0.0268276651167032,0.5909179122956844,0.0922128521368014,tail_accented,1.0,A02,sparse_0_4,very_slow,af,af,0.5,0.5,1,1,False,False,,,mono_or_unknown
e10cb3113b794b3ad79e780e4fd04c83ec6a8f154bbe0ecb00a7e82e1b18183e,120000,2,2.075658333333333,8,1.3127416666666667,0.1875345238095238,0.4790508508781336,0.2607964247852776,0.4773279840537298,0.7476873751684613,0.360063839089758,-0.0222650499361124,mixed,0.8571428571428571,A12,expanded_7_10,slow,ecebddf,ecebdf,0.14285714285714285,0.42857142857142855,1,5,True,False,-0.0083333333333333,0.0166666666666666,center_stable
e16d11ebea6c37412259e5553ce4924fcc88c1e3905a2a90230824be2896b159,48000,2,1.3282916666666666,11,1.0634583333333334,0.1063458333333333,0.6203285003598201,0.1910041922971437,0.3590878815186302,0.745810055861574,0.8279070239006867,0.0471982121137473,rising,0.8,A12,long_11_16,fast,dcccbdebbd,dcbdebd,0.3,0.1,2,4,True,False,0.0416666666666666,0.90625,center_unstable
e170d799a2d74fb216aae33383710f26255ac988a1e745be689dd93e0437f50e,48000,2,1.874,26,1.8207083333333327,0.0728283333333333,0.0555311948226616,0.0848456415772249,0.4759480055839074,0.9941364605416522,0.4092074089645555,0.0560674214019395,rising,0.88,A17,dense_17plus,very_fast,ccccccccccccccccccccccccc,c,0.0,0.0,0,0,False,False,-1.2083333333333337,0.0052083333333334,L_stable
